t1,x1,t2,x2,t3,x3,t4,x4,Fix:,t1,x1,t2,x2,t3,x3,t4,x4,x1v2,x2v2,x3v2,x4v2
0,1.92E-03,0,1.97E-02,0,5.07E-03,3.33E-02,-0.115,,0,0.00E+00,0,0.00E+00,0,0.00E+00,0.00E+00,0,1.99E+00,2.22E+00,2.18E+00,1.96E+00
3.33E-02,1.86E-02,3.33E-02,3.97E-02,3.33E-02,3.01E-02,6.67E-02,-0.109,,3.33E-02,1.67E-02,3.33E-02,2.00E-02,3.33E-02,2.50E-02,8.34E-03,0.006,1.97E+00,2.20E+00,2.15E+00,1.95E+00
6.67E-02,3.94E-02,6.67E-02,6.96E-02,6.67E-02,7.01E-02,0.1,-0.103,,6.67E-02,3.75E-02,6.67E-02,5.00E-02,6.67E-02,6.51E-02,1.67E-02,0.012,1.95E+00,2.17E+00,2.11E+00,1.95E+00
0.1,6.85E-02,0.1,0.105,0.1,0.11,0.133,-0.103,,0.1,6.66E-02,0.1,8.53E-02,0.1,1.05E-01,2.49E-02,0.012,1.92E+00,2.14E+00,2.07E+00,1.95E+00
0.133,0.102,0.133,0.16,0.133,0.16,0.167,-9.74E-02,,0.133,1.00E-01,0.133,1.40E-01,0.133,1.55E-01,3.34E-02,0.01758,1.89E+00,2.08E+00,2.02E+00,1.94E+00
0.167,0.139,0.167,0.22,0.167,0.22,0.2,-8.02E-02,,0.167,1.37E-01,0.167,2.00E-01,0.167,2.15E-01,4.17E-02,0.0348,1.85E+00,2.02E+00,1.96E+00,1.93E+00
0.2,0.206,0.2,0.3,0.2,0.31,0.233,-8.61E-02,,0.2,2.04E-01,0.2,2.80E-01,0.2,3.05E-01,4.99E-02,0.02887,1.78E+00,1.94E+00,1.87E+00,1.93E+00
0.233,0.268,0.233,0.375,0.233,0.395,0.267,-8.02E-02,,0.233,2.66E-01,0.233,3.55E-01,0.233,3.90E-01,5.84E-02,0.0348,1.72E+00,1.87E+00,1.79E+00,1.93E+00
0.267,0.335,0.267,0.459,0.267,0.485,0.3,-8.03E-02,,0.267,3.33E-01,0.267,4.39E-01,0.267,4.80E-01,6.67E-02,0.03466,1.65E+00,1.78E+00,1.70E+00,1.93E+00
0.3,0.426,0.3,0.554,0.3,0.57,0.333,-7.99E-02,,0.3,4.24E-01,0.3,5.34E-01,0.3,5.65E-01,7.49E-02,0.03508,1.56E+00,1.69E+00,1.61E+00,1.92E+00
0.333,0.522,0.333,0.659,0.333,0.675,0.367,-6.83E-02,,0.333,5.20E-01,0.333,6.39E-01,0.333,6.70E-01,8.34E-02,0.04666,1.47E+00,1.58E+00,1.51E+00,1.91E+00
0.367,0.642,0.367,0.774,0.367,0.795,0.4,-6.83E-02,,0.367,6.40E-01,0.367,7.54E-01,0.367,7.90E-01,9.17E-02,0.04666,1.35E+00,1.47E+00,1.39E+00,1.91E+00
0.4,0.751,0.4,0.884,0.4,0.915,0.433,-6.27E-02,,0.4,7.49E-01,0.4,8.64E-01,0.4,9.10E-01,9.99E-02,0.0523,1.24E+00,1.36E+00,1.27E+00,1.91E+00
0.433,0.871,0.433,1.019,0.433,1.04,0.467,-5.69E-02,,0.433,8.69E-01,0.433,9.99E-01,0.433,1.03E+00,1.08E-01,0.05809,1.12E+00,1.22E+00,1.14E+00,1.90E+00
0.467,1,0.467,1.154,0.467,1.16,0.5,-5.71E-02,,0.467,9.98E-01,0.467,1.13E+00,0.467,1.15E+00,1.17E-01,0.05795,9.88E-01,1.09E+00,1.02E+00,1.90E+00
0.5,1.141,0.5,1.284,0.5,1.296,0.533,-5.11E-02,,0.5,1.14E+00,0.5,1.26E+00,0.5,1.29E+00,1.25E-01,0.06388,8.47E-01,9.59E-01,8.86E-01,1.90E+00
0.533,1.295,0.533,1.444,0.533,1.446,0.567,-4.53E-02,,0.533,1.29E+00,0.533,1.42E+00,0.533,1.44E+00,1.33E-01,0.06967,6.93E-01,7.99E-01,7.36E-01,1.89E+00
0.567,1.45,0.567,1.599,0.567,1.596,0.6,-3.38E-02,,0.567,1.45E+00,0.567,1.58E+00,0.567,1.59E+00,1.42E-01,0.08124,5.38E-01,6.44E-01,5.86E-01,1.88E+00
0.6,1.616,0.6,1.749,0.6,1.736,0.633,-3.38E-02,,0.6,1.61E+00,0.6,1.73E+00,0.6,1.73E+00,1.50E-01,0.08124,3.72E-01,4.94E-01,4.46E-01,1.88E+00
0.633,1.799,0.633,1.903,0.633,1.896,0.667,-2.22E-02,,0.633,1.80E+00,0.633,1.88E+00,0.633,1.89E+00,1.58E-01,0.09282,1.89E-01,3.40E-01,2.86E-01,1.87E+00
0.667,1.986,0.667,2.093,0.667,2.067,0.7,-2.22E-02,,0.667,1.98E+00,0.667,2.07E+00,0.667,2.06E+00,1.67E-01,0.09282,1.92E-03,1.50E-01,1.15E-01,1.87E+00
,,0.7,2.223,0.7,2.177,0.733,-2.22E-02,,,,0.7,2.20E+00,0.7,2.17E+00,1.75E-01,0.09282,,1.97E-02,5.07E-03,1.87E+00
,,,,,,0.767,-1.05E-02,,,,,,,,1.83E-01,0.10453,,,,1.86E+00
,,,,,,0.8,-1.08E-02,,,,,,,,1.92E-01,0.10425,,,,1.86E+00
,,,,,,0.833,8.24E-04,,,,,,,,2.00E-01,0.1158243,,,,1.84E+00
,,,,,,0.867,9.67E-04,,,,,,,,2.08E-01,0.1159668,,,,1.84E+00
,,,,,,0.9,1.23E-02,,,,,,,,2.17E-01,0.12726,,,,1.83E+00
,,,,,,0.933,1.82E-02,,,,,,,,2.25E-01,0.13319,,,,1.83E+00
,,,,,,0.967,1.83E-02,,,,,,,,2.33E-01,0.13333,,,,1.83E+00
,,,,,,1,2.43E-02,,,,,,,,2.42E-01,0.13926,,,,1.82E+00
,,,,,,1.033,3.58E-02,,,,,,,,2.50E-01,0.15083,,,,1.81E+00
,,,,,,1.067,3.58E-02,,,,,,,,2.58E-01,0.15083,,,,1.81E+00
,,,,,,1.1,4.18E-02,,,,,,,,2.67E-01,0.15676,,,,1.80E+00
,,,,,,1.133,5.87E-02,,,,,,,,2.75E-01,0.1737,,,,1.79E+00
,,,,,,1.167,7.61E-02,,,,,,,,2.83E-01,0.19106,,,,1.77E+00
,,,,,,1.2,7.64E-02,,,,,,,,2.92E-01,0.19135,,,,1.77E+00
,,,,,,1.233,8.81E-02,,,,,,,,3.00E-01,0.20307,,,,1.76E+00
,,,,,,1.267,8.81E-02,,,,,,,,3.08E-01,0.20307,,,,1.76E+00
,,,,,,1.3,9.96E-02,,,,,,,,3.17E-01,0.21464,,,,1.75E+00
,,,,,,1.333,0.105,,,,,,,,3.25E-01,0.22,,,,1.74E+00
,,,,,,1.367,0.117,,,,,,,,3.33E-01,0.232,,,,1.73E+00
,,,,,,1.4,0.117,,,,,,,,3.42E-01,0.232,,,,1.73E+00
,,,,,,1.433,0.129,,,,,,,,3.50E-01,0.244,,,,1.72E+00
,,,,,,1.467,0.146,,,,,,,,3.58E-01,0.261,,,,1.70E+00
,,,,,,1.5,0.158,,,,,,,,3.67E-01,0.273,,,,1.69E+00
,,,,,,1.533,0.169,,,,,,,,3.75E-01,0.284,,,,1.68E+00
,,,,,,1.567,0.175,,,,,,,,3.83E-01,0.29,,,,1.67E+00
,,,,,,1.6,0.192,,,,,,,,3.92E-01,0.307,,,,1.65E+00
,,,,,,1.633,0.192,,,,,,,,4.00E-01,0.307,,,,1.65E+00
,,,,,,1.667,0.198,,,,,,,,4.08E-01,0.313,,,,1.65E+00
,,,,,,1.7,0.21,,,,,,,,4.17E-01,0.325,,,,1.64E+00
,,,,,,1.733,0.221,,,,,,,,4.25E-01,0.336,,,,1.62E+00
,,,,,,1.767,0.233,,,,,,,,4.33E-01,0.348,,,,1.61E+00
,,,,,,1.8,0.244,,,,,,,,4.42E-01,0.359,,,,1.60E+00
,,,,,,1.833,0.25,,,,,,,,4.50E-01,0.365,,,,1.60E+00
,,,,,,1.867,0.262,,,,,,,,4.58E-01,0.377,,,,1.58E+00
,,,,,,1.9,0.273,,,,,,,,4.67E-01,0.388,,,,1.57E+00
,,,,,,1.933,0.279,,,,,,,,4.75E-01,0.394,,,,1.57E+00
,,,,,,1.967,0.297,,,,,,,,4.83E-01,0.412,,,,1.55E+00
,,,,,,2,0.314,,,,,,,,4.92E-01,0.429,,,,1.53E+00
,,,,,,2.033,0.314,,,,,,,,5.00E-01,0.429,,,,1.53E+00
,,,,,,2.067,0.337,,,,,,,,5.08E-01,0.452,,,,1.51E+00
,,,,,,2.1,0.337,,,,,,,,5.17E-01,0.452,,,,1.51E+00
,,,,,,2.133,0.354,,,,,,,,5.25E-01,0.469,,,,1.49E+00
,,,,,,2.167,0.36,,,,,,,,5.33E-01,0.475,,,,1.49E+00
,,,,,,2.2,0.383,,,,,,,,5.42E-01,0.498,,,,1.46E+00
,,,,,,2.233,0.384,,,,,,,,5.50E-01,0.499,,,,1.46E+00
,,,,,,2.267,0.401,,,,,,,,5.58E-01,0.516,,,,1.44E+00
,,,,,,2.3,0.418,,,,,,,,5.67E-01,0.533,,,,1.43E+00
,,,,,,2.333,0.424,,,,,,,,5.75E-01,0.539,,,,1.42E+00
,,,,,,2.367,0.436,,,,,,,,5.83E-01,0.551,,,,1.41E+00
,,,,,,2.4,0.453,,,,,,,,5.92E-01,0.568,,,,1.39E+00
,,,,,,2.433,0.476,,,,,,,,6.00E-01,0.591,,,,1.37E+00
,,,,,,2.467,0.482,,,,,,,,6.08E-01,0.597,,,,1.36E+00
,,,,,,2.5,0.488,,,,,,,,6.17E-01,0.603,,,,1.36E+00
,,,,,,2.533,0.499,,,,,,,,6.25E-01,0.614,,,,1.35E+00
,,,,,,2.567,0.523,,,,,,,,6.33E-01,0.638,,,,1.32E+00
,,,,,,2.6,0.523,,,,,,,,6.42E-01,0.638,,,,1.32E+00
,,,,,,2.633,0.54,,,,,,,,6.50E-01,0.655,,,,1.31E+00
,,,,,,2.667,0.552,,,,,,,,6.58E-01,0.667,,,,1.29E+00
,,,,,,2.7,0.563,,,,,,,,6.67E-01,0.678,,,,1.28E+00
,,,,,,2.733,0.581,,,,,,,,6.75E-01,0.696,,,,1.26E+00
,,,,,,2.767,0.598,,,,,,,,6.83E-01,0.713,,,,1.25E+00
,,,,,,2.8,0.615,,,,,,,,6.92E-01,0.73,,,,1.23E+00
,,,,,,2.833,0.615,,,,,,,,7.00E-01,0.73,,,,1.23E+00
,,,,,,2.867,0.633,,,,,,,,7.08E-01,0.748,,,,1.21E+00
,,,,,,2.9,0.65,,,,,,,,7.17E-01,0.765,,,,1.20E+00
,,,,,,2.933,0.662,,,,,,,,7.25E-01,0.777,,,,1.18E+00
,,,,,,2.967,0.679,,,,,,,,7.33E-01,0.794,,,,1.17E+00
,,,,,,3,0.685,,,,,,,,7.42E-01,0.8,,,,1.16E+00
,,,,,,3.033,0.702,,,,,,,,7.50E-01,0.817,,,,1.14E+00
,,,,,,3.067,0.719,,,,,,,,7.58E-01,0.834,,,,1.13E+00
,,,,,,3.1,0.737,,,,,,,,7.67E-01,0.852,,,,1.11E+00
,,,,,,3.133,0.76,,,,,,,,7.75E-01,0.875,,,,1.09E+00
,,,,,,3.167,0.795,,,,,,,,7.83E-01,0.91,,,,1.05E+00
,,,,,,3.2,0.824,,,,,,,,7.92E-01,0.939,,,,1.02E+00
,,,,,,3.233,0.882,,,,,,,,8.00E-01,0.997,,,,9.63E-01
,,,,,,3.267,0.928,,,,,,,,8.08E-01,1.043,,,,9.17E-01
,,,,,,3.3,0.975,,,,,,,,8.17E-01,1.09,,,,8.70E-01
,,,,,,3.333,1.073,,,,,,,,8.25E-01,1.188,,,,7.72E-01
,,,,,,3.367,1.154,,,,,,,,8.33E-01,1.269,,,,6.91E-01
,,,,,,3.4,1.288,,,,,,,,8.42E-01,1.403,,,,5.57E-01
,,,,,,3.433,1.444,,,,,,,,8.50E-01,1.559,,,,4.01E-01
,,,,,,3.467,1.612,,,,,,,,8.58E-01,1.727,,,,2.33E-01
,,,,,,3.5,1.775,,,,,,,,8.67E-01,1.89,,,,7.00E-02
,,,,,,3.533,1.96,,,,,,,,8.75E-01,2.075,,,,-1.15E-01
